t,theta1,omega1,theta2,omega2,E1,E2,E_total
4.65,-0.09869880419,-1.349227142,0.08665147488,0.7787350775,0.9579499958,0.3400202071,1.297757948
4.675,-0.1320736591,-1.319421516,0.1058215422,0.7540861532,0.9558723978,0.3391988903,1.294622506
4.7,-0.1646039406,-1.281704908,0.1243172489,0.7248141925,0.9539822526,0.338385915,1.29156424
4.725,-0.1960953596,-1.236364498,0.1420252406,0.6911018461,0.9523088344,0.3375842659,1.288604573
4.75,-0.2263614134,-1.183735265,0.1588370917,0.653160466,0.9508729492,0.3367986734,1.285766458
4.775,-0.255224522,-1.124195204,0.1746500015,0.6112284335,0.9496863233,0.3360355463,1.283073956
4.8,-0.2825170405,-1.058160259,0.1893674478,0.5655692984,0.9487513947,0.3353027633,1.280551596
4.825,-0.3080821428,-0.9860791702,0.2028997906,0.5164697693,0.9480615015,0.3346093334,1.278223546
4.85,-0.3317745786,-0.9084284016,0.2151648256,0.4642375902,0.9476014412,0.3339649428,1.276112619
4.875,-0.3534613049,-0.825707286,0.2260882816,0.4091993382,0.9473483595,0.3333794142,1.274239181
4.9,-0.3730220003,-0.7384335276,0.2356042642,0.3516981741,0.9472729111,0.3328621102,1.27261999
4.925,-0.3903494731,-0.6471391496,0.2436556416,0.2920915685,0.9473406281,0.3324213147,1.271267067
4.95,-0.4053499738,-0.5523669532,0.2501943738,0.230749025,0.9475134235,0.3320636304,1.270186635
4.975,-0.4179434257,-0.4546675187,0.2551817852,0.1680498128,0.9477511554,0.3317934284,1.269378204
5,-0.4280635877,-0.354596746,0.2585887806,0.1043807165,0.9480131814,0.3316123837,1.268833874
5.025,-0.4356581619,-0.2527139043,0.2603960051,0.04013380478,0.9482598353,0.3315191279,1.268537888
5.05,-0.4406888582,-0.1495801316,0.2605939483,-0.02429578417,0.9484537682,0.3315090431,1.268466505
5.075,-0.4431314264,-0.04575730405,0.2591829939,-0.08851204666,0.9485611033,0.3315742132,1.268588201
5.1,-0.4429756629,0.05819282264,0.2561734136,-0.1521203151,0.9485523691,0.3317035431,1.268864224
5.125,-0.4402253993,0.1617093107,0.2515853058,-0.2147294661,0.9484031832,0.3318830463,1.269249495
5.15,-0.4348984738,0.2642326935,0.2454484798,-0.2759541419,0.9480946761,0.3320962909,1.269693849
5.175,-0.4270266853,0.3652057024,0.2378022834,-0.3354169933,0.9476136535,0.3323249889,1.27014355
5.2,-0.4166557276,0.4640741826,0.2286953744,-0.3927509424,0.9469525099,0.3325497037,1.270543061
5.225,-0.4038450974,0.5602883013,0.2181854356,-0.4476014664,0.9461089155,0.3327506431,1.270836982
5.25,-0.3886679671,0.6533041398,0.2063388317,-0.499628891,0.9450853089,0.3329085021,1.270972074
5.275,-0.371211012,0.7425857373,0.1932302101,-0.5485106808,0.9438882353,0.3330053143,1.270899299
5.3,-0.3515741814,0.8276076355,0.1789420434,-0.5939437055,0.9425275766,0.3330252699,1.270575765
5.325,-0.3298703983,0.9078579403,0.163564117,-0.6356464554,0.9410157218,0.3329554582,1.269966505
5.35,-0.3062251766,0.9828418915,0.1471929614,-0.6733611744,0.9393667274,0.3327864961,1.269045979
5.375,-0.2807761437,1.052085895,0.1299312328,-0.706855875,0.9375955181,0.3325130076,1.267799248
5.4,-0.2536724565,1.115141944,0.1118870456,-0.7359261961,0.9357171698,0.3321339286,1.266222729
5.425,-0.2250741035,1.171592327,0.0931732603,-0.760397065,0.9337463146,0.3316526149,1.264324512
5.45,-0.1951510865,1.221054488,0.07390673296,-0.7801241241,0.9316966951,0.3310767478,1.262124187
5.475,-0.1640824812,1.263185887,0.05420753233,-0.7949948876,0.9295808877,0.3304180361,1.259652203
5.5,-0.1320553773,1.297688705,0.03419813162,-0.8049295971,0.9274102007,0.3296917265,1.256948751
5.525,-0.099263705,1.324314207,0.01400258306,-0.8098817524,0.9251947424,0.3289159455,1.254062251
5.55,-0.06590695837,1.342866613,-0.006254316695,-0.8098383014,0.922943641,0.3281109029,1.251047468
5.575,-0.03218882991,1.353206308,-0.02644786149,-0.8048194821,0.9206653891,0.3272979948,1.247963378
5.6,0.001684225862,1.355252273,-0.0464542624,-0.7948783212,0.9183682757,0.326498852,1.244870846
5.625,0.03550447849,1.348983636,-0.06615145765,-0.7800997998,0.9160608618,0.3257343779,1.241830257
5.65,0.06906443475,1.334440265,-0.08541989782,-0.7605997104,0.9137524529,0.3250238249,1.238899172
5.675,0.1021583546,1.311722403,-0.1041432989,-0.7365232347,0.9114535225,0.3243839529,1.236130151
5.7,0.1345837458,1.280989346,-0.1222093567,-0.7080432808,0.9091760415,0.3238283115,1.233568807
5.725,0.1661428147,1.242457234,-0.1395104171,-0.6753586212,0.9069336769,0.3233666762,1.231252197
5.75,0.1966438513,1.196396049,-0.1559440977,-0.6386918784,0.9047418314,0.3230046666,1.229207602
5.775,0.2259025301,1.143125941,-0.1714138578,-0.5982874059,0.9026175061,0.3227435595,1.227451749
5.8,0.2537431135,1.083013031,-0.1858295147,-0.5544091099,0.9005789803,0.3225803013,1.225990482
5.825,0.2799995442,1.016464856,-0.1991077045,-0.5073382557,0.8986453162,0.322507716,1.224818901
5.85,0.3045164218,0.9439256116,-0.2111722896,-0.4573712975,0.8968357082,0.322514893,1.223921921
